Holder_ID,Holder_Type,Holder_Name,Residency_Country,Currency,Holder_Status,DRP_Flag,Holder_Reference_Type,Holder_Reference_Number,Communication Preference,Holder_Category,Initial_Allocation_Flag,Holder_ID
H0001,INDIVIDUAL,James Walker,AU,AUD,ACTIVE,Y,HIN,X000000002,EMAIL,RETAIL,N,H0001
H0002,INDIVIDUAL,Olivia Bennett,NZ,NZD,CLOSED,N,SRN,I000000003,POST,RETAIL,N,H0002
H0003,INDIVIDUAL,Ethan Collins,SG,SGD,SUSPENDED,Y,HIN,X000000004,EMAIL,RETAIL,N,H0003
H0004,INDIVIDUAL,Chloe Turner,UK,GBP,DECEASED,N,SRN,I000000005,POST,RETAIL,N,H0004
H0005,INDIVIDUAL,Liam Parker,US,USD,DORMANT,Y,HIN,X000000006,EMAIL,RETAIL,N,H0005
H0006,INDIVIDUAL,Grace Wilson,AU,AUD,ACTIVE,N,SRN,I000000007,POST,RETAIL,N,H0006
H0007,INDIVIDUAL,Noah Harris,NZ,NZD,CLOSED,Y,HIN,X000000008,EMAIL,RETAIL,N,H0007
H0008,INDIVIDUAL,Ava Mitchell,SG,SGD,SUSPENDED,N,SRN,I000000009,POST,RETAIL,N,H0008
H0009,INDIVIDUAL,Mason Cooper,UK,GBP,DECEASED,Y,HIN,X000000010,EMAIL,RETAIL,N,H0009
H0010,INDIVIDUAL,Sophia Brooks,US,USD,DORMANT,N,SRN,I000000011,POST,RETAIL,N,H0010
H0011,INDIVIDUAL,Lucas Reed,AU,AUD,ACTIVE,Y,HIN,X000000012,EMAIL,RETAIL,N,H0011
H0012,INDIVIDUAL,Amelia Foster,NZ,NZD,CLOSED,N,SRN,I000000013,POST,RETAIL,N,H0012
H0013,INDIVIDUAL,Henry Price,SG,SGD,SUSPENDED,Y,HIN,X000000014,EMAIL,RETAIL,N,H0013
H0014,INDIVIDUAL,Ella Simmons,UK,GBP,DECEASED,Y,SRN,I000000015,POST,RETAIL,N,H0014
H0015,INDIVIDUAL,Jack Morgan,US,USD,DORMANT,Y,HIN,X000000016,EMAIL,RETAIL,N,H0015
H0016,INDIVIDUAL,Lily Ward,AU,AUD,ACTIVE,N,SRN,I000000017,POST,RETAIL,N,H0016
H0017,INDIVIDUAL,Benjamin Hayes,NZ,NZD,CLOSED,Y,HIN,X000000018,EMAIL,RETAIL,N,H0017
H0018,INDIVIDUAL,Zoe Richardson,SG,SGD,SUSPENDED,N,SRN,I000000019,POST,RETAIL,N,H0018
H0019,INDIVIDUAL,Alexander Murphy,UK,GBP,DECEASED,Y,HIN,X000000020,EMAIL,RETAIL,N,H0019
H0020,INDIVIDUAL,Mia Jenkins,US,USD,DORMANT,N,SRN,I000000021,POST,RETAIL,N,H0020
H0021,INDIVIDUAL,Samuel Peterson,AU,AUD,ACTIVE,Y,HIN,X000000022,EMAIL,RETAIL,N,H0021
H0022,INDIVIDUAL,Charlotte Bailey,NZ,NZD,CLOSED,N,SRN,I000000023,POST,RETAIL,N,H0022
H0023,INDIVIDUAL,Daniel Hughes,SG,SGD,SUSPENDED,Y,HIN,X000000024,EMAIL,RETAIL,N,H0023
H0024,INDIVIDUAL,Emily Ross,UK,GBP,DECEASED,N,SRN,I000000025,POST,RETAIL,N,H0024
H0025,INDIVIDUAL,Matthew Long,US,USD,DORMANT,Y,HIN,X000000026,EMAIL,RETAIL,N,H0025
H0026,INDIVIDUAL,Harper Kelly,AU,AUD,ACTIVE,N,SRN,I000000027,POST,RETAIL,N,H0026
H0027,INDIVIDUAL,Jacob Perry,NZ,NZD,CLOSED,Y,HIN,X000000028,EMAIL,RETAIL,N,H0027
H0028,INDIVIDUAL,Scarlett Powell,SG,SGD,SUSPENDED,N,SRN,I000000029,POST,RETAIL,N,H0028
H0029,INDIVIDUAL,William Foster,UK,GBP,DECEASED,Y,HIN,X000000030,EMAIL,RETAIL,N,H0029
H0030,INDIVIDUAL,Isla Bryant,US,USD,DORMANT,N,SRN,I000000031,POST,RETAIL,N,H0030
H0031,INDIVIDUAL,Nathan Coleman,AU,AUD,ACTIVE,Y,HIN,X000000032,EMAIL,RETAIL,N,H0031
H0032,INDIVIDUAL,Hannah Fisher,NZ,NZD,CLOSED,N,SRN,I000000033,POST,RETAIL,N,H0032
H0033,INDIVIDUAL,Ryan Butler,SG,SGD,SUSPENDED,Y,HIN,X000000034,EMAIL,RETAIL,N,H0033
H0034,INDIVIDUAL,Madison Griffin,UK,GBP,DECEASED,N,SRN,I000000035,POST,RETAIL,N,H0034
H0035,INDIVIDUAL,Caleb Simmons,US,USD,DORMANT,Y,HIN,X000000036,EMAIL,RETAIL,N,H0035
H0036,INDIVIDUAL,Victoria Howard,AU,AUD,ACTIVE,N,SRN,I000000037,POST,RETAIL,N,H0036
H0037,INDIVIDUAL,Dylan Price,NZ,NZD,CLOSED,Y,HIN,X000000038,EMAIL,RETAIL,N,H0037
H0038,INDIVIDUAL,Abigail Barnes,SG,SGD,SUSPENDED,N,SRN,I000000039,POST,RETAIL,N,H0038
H0039,INDIVIDUAL,Thomas Cooper,UK,GBP,DECEASED,Y,HIN,X000000040,EMAIL,RETAIL,N,H0039
H0040,INDIVIDUAL,Layla Bennett,US,USD,DORMANT,N,SRN,I000000041,POST,RETAIL,N,H0040
H0041,INDIVIDUAL,Andrew Murphy,AU,AUD,ACTIVE,Y,HIN,X000000042,EMAIL,RETAIL,N,H0041
H0042,INDIVIDUAL,Stella Hayes,NZ,NZD,CLOSED,N,SRN,I000000043,POST,RETAIL,N,H0042
H0043,INDIVIDUAL,Joshua Reed,SG,SGD,SUSPENDED,Y,HIN,X000000044,EMAIL,RETAIL,N,H0043
H0044,INDIVIDUAL,Ruby Collins,UK,GBP,DECEASED,N,SRN,I000000045,POST,RETAIL,N,H0044
H0045,INDIVIDUAL,Isaac Ward,US,USD,DORMANT,Y,HIN,X000000046,EMAIL,RETAIL,N,H0045
H0046,INDIVIDUAL,Sophie Turner,AU,AUD,ACTIVE,N,SRN,I000000047,POST,RETAIL,N,H0046
H0047,INDIVIDUAL,Connor Jenkins,NZ,NZD,CLOSED,Y,HIN,X000000048,EMAIL,RETAIL,N,H0047
H0048,INDIVIDUAL,Eva Brooks,SG,SGD,SUSPENDED,N,SRN,I000000049,POST,RETAIL,N,H0048
H0049,INDIVIDUAL,Aaron Mitchell,UK,GBP,DECEASED,Y,HIN,X000000050,EMAIL,RETAIL,N,H0049
H0050,INDIVIDUAL,Lucy Carter,US,USD,DORMANT,N,SRN,I000000051,POST,RETAIL,N,H0050
H0051,INDIVIDUAL,Leo Richardson,AU,AUD,ACTIVE,Y,HIN,X000000052,EMAIL,RETAIL,N,H0051
H0052,INDIVIDUAL,Georgia Harris,NZ,NZD,CLOSED,N,SRN,I000000053,POST,RETAIL,N,H0052
H0053,INDIVIDUAL,Adam Bailey,SG,SGD,SUSPENDED,Y,HIN,X000000054,EMAIL,RETAIL,N,H0053
H0054,INDIVIDUAL,Claire Morgan,UK,GBP,DECEASED,N,SRN,I000000055,POST,RETAIL,N,H0054
H0055,INDIVIDUAL,Jordan Ross,US,USD,DORMANT,Y,HIN,X000000056,EMAIL,RETAIL,N,H0055
H0056,INDIVIDUAL,Isabelle Kelly,AU,AUD,ACTIVE,N,SRN,I000000057,POST,RETAIL,N,H0056
